timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543662747,37,addItemToCart,308,Permanent Redirect,JPetstore 1-10,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,37,0,0
1614543662793,37,viewCategory,308,Permanent Redirect,JPetstore 1-16,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,37,0,0
1614543658954,37,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-16,,true,,428,809,20,20,null,37,3839,0
1614543662869,39,signOff,308,Permanent Redirect,JPetstore 1-17,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,39,0,0
1614543662933,36,newOrderForm,308,Permanent Redirect,JPetstore 1-14,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,36,0,0
1614543662994,34,viewCatalog,308,Permanent Redirect,JPetstore 1-17,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,33,0,0
1614543659443,73,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-17,,true,,806,1609,20,20,null,72,3511,0
1614543663064,44,signinForm,308,Permanent Redirect,JPetstore 1-8,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,44,0,0
1614543662481,44,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-8,,true,,410,791,20,20,null,44,584,0
1614543663028,82,homepage,308,Permanent Redirect,JPetstore 1-17,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,81,0,37
1614543663028,82,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-17,,true,,399,550,20,20,null,81,0,37
1614543663212,38,viewCatalog,308,Permanent Redirect,JPetstore 1-8,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,38,0,0
1614543663496,42,addItemToCart,308,Permanent Redirect,JPetstore 1-19,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,42,0,0
1614543663692,37,signinForm,308,Permanent Redirect,JPetstore 1-17,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,37,0,0
1614543663110,37,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-17,,true,,410,791,20,20,null,37,582,0
1614543663835,35,viewCatalog,308,Permanent Redirect,JPetstore 1-17,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,35,0,0
1614543664020,38,viewProduct,308,Permanent Redirect,JPetstore 1-2,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,38,0,0
1614543659134,38,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-2,,true,,430,841,20,20,null,38,4885,0
1614543664254,41,signinAccount,308,Permanent Redirect,JPetstore 1-8,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,41,0,0
1614543663109,79,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-8,,true,,798,1819,20,20,null,79,1108,0
1614543664325,37,viewProduct,308,Permanent Redirect,JPetstore 1-11,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,37,0,0
1614543659436,37,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-11,,true,,430,841,20,20,null,37,4888,0
1614543664496,36,setBillingInfo,308,Permanent Redirect,JPetstore 1-5,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,36,0,0
1614543664797,38,confirmOrder,308,Permanent Redirect,JPetstore 1-9,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,38,0,0
1614543652414,156,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-9,,false,,1658,3734,20,20,null,155,12265,0
1614543664853,40,viewCategory,308,Permanent Redirect,JPetstore 1-3,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,40,0,0
1614543661018,40,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-3,,true,,428,809,20,20,null,40,3835,0
1614543664874,36,signinAccount,308,Permanent Redirect,JPetstore 1-17,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,36,0,0
1614543663729,71,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-17,,true,,798,1819,20,20,null,71,1110,0
1614543664974,38,signOff,308,Permanent Redirect,JPetstore 1-4,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,38,0,0
1614543664992,38,viewProduct,308,Permanent Redirect,JPetstore 1-20,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,38,0,0
1614543660101,38,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-20,,true,,430,841,20,20,null,38,4890,0
1614543665035,39,setBillingInfo,308,Permanent Redirect,JPetstore 1-14,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,39,0,0
1614543665096,37,viewCatalog,308,Permanent Redirect,JPetstore 1-4,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,37,0,0
1614543661548,75,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-4,,true,,806,1609,20,20,null,75,3510,0
1614543665133,79,homepage,308,Permanent Redirect,JPetstore 1-4,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,79,0,36
1614543665133,79,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-4,,true,,399,550,20,20,null,79,0,36
1614543665321,47,confirmOrder,308,Permanent Redirect,JPetstore 1-18,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,47,0,0
1614543652947,157,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-18,,false,,1658,3734,20,20,null,157,12264,0
1614543665502,38,viewCategory,308,Permanent Redirect,JPetstore 1-12,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,38,0,0
1614543661665,38,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-12,,true,,428,809,20,20,null,38,3837,0
1614543665513,40,addItemToCart,308,Permanent Redirect,JPetstore 1-6,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,40,0,0
